"PassengerId","Family_name","first_name","Sex","Survived","Age","Ticket_class","Passenger.Crew","Citizenship","Position","Status","City","Lifeboat","Rescue.Vessel","Adult.Minor"
67,"Stevens","John","male","no",NA,"Deck","Crew","British","Chief Officer","","","","","Adult"
68,"Thompson","John","male","no",NA,"Deck","Crew","British","O Seaman","","","","","Adult"
69,"Thompson","Leo Henry","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
70,"Todd","James","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
71,"Turner","William Thomas","male","yes",58,"Deck","Crew","British","Captain","Separated","Liverpool","","Found by Rescue Vessel","Adult"
72,"Williams","William","male","yes",NA,"Deck","Crew","British","Master-at-Arms","","","","","Adult"
73,"Yetts","William R.","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
74,"Yetts","William R.","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
75,"Anderson","William Affleck","male","no",NA,"Engineering","Crew","British","Senior 5th Engineer","","","","","Adult"
76,"Ashe","John","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
77,"Barrett","Daniel","male","no",18,"Engineering","Crew","British","Fireman","","Liverpool","","","Adult"
78,"Barry","W.","male","no",26,"Engineering","Crew","British","Fireman","","","","","Adult"
79,"Batt","George","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
80,"Beattie","James","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
81,"Beggs","John","male","no",NA,"Engineering","Crew","British","Senior 6th Engineer","","","","","Adult"
82,"Bowen","Henry","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
83,"Bradley","Thomas","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
84,"Breen","James","male","no",NA,"Engineering","Crew","British","Leading Fireman","","","","","Adult"
85,"Brennan","Patrick","male","no",47,"Engineering","Crew","British","Greaser","","Liverpool","","","Adult"
86,"Brennan","John","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
87,"Brennan","Thomas","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
88,"Bridge","William","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
89,"Brown","Patrick","male","no",24,"Engineering","Crew","British","Trimmer","","Kilboyne","","","Adult"
90,"Brown"," John","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
91,"Brown","James","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
92,"Bryce","Archie","male","no",54,"Engineering","Crew","British","Chief Engineer","","","","","Adult"
93,"Burke","James","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
94,"Burns","John James","male","no",NA,"Engineering","Crew","British","Leading Fireman","","","","","Adult"
95,"Burns","Joseph","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
96,"Burns","Peter","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
97,"Butler","Joseph","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
98,"Cain","Thomas","male","no",54,"Engineering","Crew","British","Fireman","","","","","Adult"
99,"Campbell","Patrick","male","no",35,"Engineering","Crew","British","Fireman","","Newry","","","Adult"
100,"Campbell","Charles","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
101,"Carribine","Bernard","male","yes",43,"Engineering","Crew","British","Fireman","","","","","Adult"
102,"Carroll","Thomas","male","yes",NA,"Engineering","Crew","British","Leading Fireman","","","","","Adult"
103,"Casey","Patrick","male","no",48,"Engineering","Crew","British","Fireman","","","","","Adult"
104,"Casey","James","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
105,"Casey","Joseph","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
106,"Cassidy","Bernard","male","no",59,"Engineering","Crew","British","Fireman","","Liverpool","","","Adult"
107,"Chadwick","Jacob","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
108,"Chester","Michael","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
109,"Coady"," James","male","no",53,"Engineering","Crew","British","Fireman","","","","","Adult"
110,"Cockburn","Andrew","male","yes",44,"Engineering","Crew","British","Senior 2nd Engineer","","","","Found by Rescue Vessel","Adult"
111,"Cole","William Henry","male","no",NA,"Engineering","Crew","British","Second Intermediate 3rd Engineer","","","","","Adult"
112,"Collins","Patrick","male","no",35,"Engineering","Crew","British","Fireman","","","","","Adult"
113,"Collins","James Lord","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
114,"Colwell","William J.","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
115,"Conlon","Bernard","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
116,"Connelly","Owen","male","no",51,"Engineering","Crew","British","Trimmer","Married","New York","","","Adult"
117,"Cooney","Michael, Jr.","male","no",20,"Engineering","Crew","British","Fireman","","","","","Adult"
118,"Cooney","Michael, Sr.","male","no",40,"Engineering","Crew","British","Fireman","","","","","Adult"
119,"Corboy","Michael","male","no",49,"Engineering","Crew","British","Fireman","","","","","Adult"
120,"Costello","Thomas","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
121,"Coyne (coyle)","Patrick","male","no",24,"Engineering","Crew","British","Trimmer","","Ballyheane","","","Adult"
122,"Cross","Andrew","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
123,"Crumby","Stephen","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
124,"Culshaw","William","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
125,"Curran","Patrick","male","no",44,"Engineering","Crew","British","Fireman","","Liverpool","","","Adult"
126,"Cushion","Michael","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
127,"Daley","Daniel","male","no",42,"Engineering","Crew","British","Fireman","","Ranelagh","","","Adult"
128,"Dalyrmple","James","male","yes",NA,"Engineering","Crew","British","Refrigeration Greaser","","","","","Adult"
129,"Davies","John","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
130,"Davies","Mr. J.","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
131,"Davis","Frederick","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
132,"Delvin","Henry","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
133,"Donnelly","John","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
134,"Donnelly","Peter","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
135,"Donoghue","Peter","male","no",NA,"Engineering","Crew","British","Greaser","","","","","Adult"
136,"Donovan","William","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
137,"Dougherty (pitchford)","William","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
138,"Downey","Edward","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
139,"Doyle","Peter","male","no",32,"Engineering","Crew","British","Leading Fireman","","Liverpool","","","Adult"
140,"Doyle","John","male","no",35,"Engineering","Crew","British","Fireman","","Liverpool","","","Adult"
141,"Doyle","Joseph","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
142,"Duckworth","Thomas","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
143,"Duggan","John","male","no",31,"Engineering","Crew","British","Trimmer","","Kirkdale","","","Adult"
144,"Duncan","Peter Robinson","male","no",31,"Engineering","Crew","British","Senior 4th Engineer","","","","","Adult"
145,"Duncan","Robert Henry","male","yes",34,"Engineering","Crew","British","First Senior 3rd Engineer","","","","","Adult"
146,"Duncan","Alexander","male","yes",NA,"Engineering","Crew","British","Junior 2nd Engineer","","","","","Adult"
147,"Dunn","Albert Charles","male","yes",30,"Engineering","Crew","British","Intermediate 6th Engineer","","","","Found by Rescue Vessel","Adult"
148,"Dunn","Thomas","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
149,"Dwyer","James","male","yes",20,"Engineering","Crew","British","Trimmer","","","","","Adult"
150,"Dwyer","John","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
151,"Dyer","John ","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
152,"Edwards","Thomas","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
153,"Elliott","James","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
154,"English","Michael","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
155,"Ennis","John","male","no",NA,"Engineering","Crew","British","Greaser","","","","","Adult"
156,"Evans","David","male","yes",NA,"Engineering","Crew","British","Leading Fireman","","","","","Adult"
157,"Evans","Robert","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
158,"Fairelough","Robert","male","yes",NA,"Engineering","Crew","British","Donkeyman","","","","","Adult"
159,"Fairhurst","Wilfred George","male","no",NA,"Engineering","Crew","British","First Intermediate 3rd Engineer","","","","","Adult"
160,"Farrell","John","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
161,"Farrell","John","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
162,"Fearon","Peter","male","no",30,"Engineering","Crew","British","Greaser","","","","","Adult"
163,"Fenton","Colin Stanley Moorhouse","male","no",NA,"Engineering","Crew","British","Deck Engineer","","","","","Adult"
164,"Fernandez","Eduardo","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
165,"Fields","William","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
166,"Finnegan","Edward","male","no",22,"Engineering","Crew","British","Trimmer","","","","","Adult"
167,"Fitzgerald","John","male","yes",NA,"Engineering","Crew","British","Electric Attendant","","Liverpool","","","Adult"
168,"Ford","John","male","no",45,"Engineering","Crew","British","Fireman","","","","","Adult"
169,"Forrest","John","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
170,"French","Edward Stanley","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
171,"Gallagher","George","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
172,"Gardner","Alfred","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
173,"Gaul","Richard","male","no",NA,"Engineering","Crew","British","Greaser","","Drinagh","","","Adult"
174,"Gavan","Peter","male","no",30,"Engineering","Crew","British","Trimmer","","","","","Adult"
175,"Goodman","B.","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
176,"Gould","Richard","male","no",34,"Engineering","Crew","British","Senior Boilermaker","","","","","Adult"
177,"Grant","Michael","male","no",36,"Engineering","Crew","British","Fireman","","","","","Adult"
178,"Gregory","John Henry","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
179,"Griffiths"," William Henry","male","no",NA,"Engineering","Crew","British","Refrigeration Greaser","","","","","Adult"
180,"Griffiths","Samuel Herman","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
181,"Grundy","Mr. George","male","yes",NA,"Engineering","Crew","British","Leading Fireman","","","","","Adult"
182,"Gunther","Charles","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
183,"Hamel","George James","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
184,"Hanlon","Patrick","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
185,"Harris","Edward James","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
186,"Hayes","John Henry Lamie","male","no",30,"Engineering","Crew","British","Junior 5th Engineer","","","","","Adult"
187,"Heston","Patrick","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
188,"Hetherington","Walter Lewis","male","no",NA,"Engineering","Crew","British","Third Senior 3rd Engineer","","","","","Adult"
189,"Hillhouse","Hugh","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
190,"Hodder","James","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
191,"Hoey","James","male","no",25,"Engineering","Crew","British","Trimmer","","Dundalk","","","Adult"
192,"Hopkins","Patrick","male","no",25,"Engineering","Crew","British","Fireman","","Castlebar","","","Adult"
193,"Horden","Joseph Thomas","male","no",NA,"Engineering","Crew","British","Greaser","","","","","Adult"
194,"Horncastle","William Alfred","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
195,"Horrigan","Michael","male","no",NA,"Engineering","Crew","British","Greaser","","","","","Adult"
196,"Hughes","Owen","male","no",NA,"Engineering","Crew","British","Greaser","","","","","Adult"
197,"Hughes","William","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
198,"Hume","Archie","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
199,"Hussey","John","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
200,"Hutchinson","George","male","yes",NA,"Engineering","Crew","British","Chief Electrician","","","","","Adult"
201,"Hutchinson","George","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
202,"Jenkins","James","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
203,"Jones","Richard Ellis","male","no",31,"Engineering","Crew","British","Junior 4th Engineer","","","","","Adult"
204,"Jones","William Ewart Gladstone","male","yes",29,"Engineering","Crew","British","Third Electrician","","","","Found by Rescue Vessel","Adult"
205,"Jones","Hugh","male","no",NA,"Engineering","Crew","British","Greaser","","","","","Adult"
206,"Jones","John","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
207,"Jones","Michael","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
208,"Kearney","Patrick","male","no",25,"Engineering","Crew","British","Trimmer","","Crumlin","","","Adult"
209,"Kearney","Thomas","male","no",25,"Engineering","Crew","British","Fireman","","Castlebar","","","Adult"
210,"Keating","Philip","male","no",31,"Engineering","Crew","British","Fireman","","","","","Adult"
211,"Keegan","John Ernest","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
212,"Kehoe","Denis","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
213,"Kelly","John","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
214,"Kelly","Sidney Crawford","male","no",NA,"Engineering","Crew","British","Intermediate 5th Engineer","","","","","Adult"
215,"Kelly","Thomas","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
216,"Kennedy","John","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
217,"Kennedy","John James","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
218,"Kenny","Joseph","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
219,"Keogh     ","P.                        ","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
220,"King","Michael","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
221,"Laffey","Thomas","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
222,"Larkin","James J.","male","no",NA,"Engineering","Crew","British","Greaser","","","","","Adult"
223,"Latham","George","male","no",NA,"Engineering","Crew","British","Second Electrician","","","","","Adult"
224,"Lawrence","William","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
225,"Lawson","Thomas","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
226,"Lawton","John","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
227,"Lea","James","male","no",NA,"Engineering","Crew","British","Senior 7th Engineer","","","","","Adult"
228,"Leathers","Samuel","male","no",NA,"Engineering","Crew","British","Leading Fireman","","","","","Adult"
229,"Lee","Daniel","male","no",50,"Engineering","Crew","British","Fireman","","Liverpool","","","Adult"
230,"Lee","William","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
231,"Leech","T.","male","yes",NA,"Engineering","Crew","British","First Junior 3rd Engineer","","","","","Adult"
232,"Lemon","John","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
233,"Lewis","F.","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
234,"Lewis","Joseph","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
235,"Linton","Isaac","male","no",48,"Engineering","Crew","British","Fireman","","","","","Adult"
236,"Little","George","male","yes",NA,"Engineering","Crew","British","Second Senior 3rd Engineer","","","","","Adult"
237,"Lockhart","Peter","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
238,"Loughran","Patrick","male","no",19,"Engineering","Crew","British","Trimmer","","Newry","","","Adult"
239,"Lyons","Archibald","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
240,"Madden","John","male","no",43,"Engineering","Crew","British","Fireman","","","","","Adult"
241,"Madden","Thomas","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
242,"Malfiat","Shef","male","yes",NA,"Engineering","Crew","Belgian","Trimmer","","","","","Adult"
243,"Mallin","William","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
244,"Manan"," Andrew","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
245,"Manning","John","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
246,"Manning","Peter","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
247,"Markey","Patrick","male","no",30,"Engineering","Crew","British","Trimmer","","Dundalk","","","Adult"
248,"Marrion","John","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
249,"Martin","Albert","male","yes",NA,"Engineering","Crew","British","Leading Fireman","","","","","Adult"
250,"Mcadam","Michael","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
251,"Mcaleavey","Thomas","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
252,"Mcaleer","James","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
253,"Mcateer","Francis","male","no",NA,"Engineering","Crew","British","Fireman","","Warrenpoint","","","Adult"
254,"Mcbride","Peter","male","no",52,"Engineering","Crew","British","Trimmer","","Ravensdale","","","Adult"
255,"Mccabe","Andrew","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
256,"Mccabe","John Alexander","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
257,"Mccabe","Richard","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
258,"Mccann","Thomas Michael","male","no",22,"Engineering","Crew","British","Fireman","","","","","Adult"
259,"Mccann","Owen","male","no",30,"Engineering","Crew","British","Trimmer","","Carlingford","","","Adult"
260,"Mccarthy","Patrick","male","yes",NA,"Engineering","Crew","British","Greaser","","","","","Adult"
261,"Mccarthy","Bartholomew","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
262,"Mcclean","Robert","male","no",NA,"Engineering","Crew","British","Plumber","","","","","Adult"
263,"Mccormick","James","male","no",44,"Engineering","Crew","British","Fireman","","","","","Adult"
264,"Mccutcheon","Thomas","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
265,"Mcdermott","Eugene","male","yes",NA,"Engineering","Crew","British","Trimmer (promoted to Fireman)","","","","","Adult"
266,"Mcdermott","Thomas","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
267,"Mcdonald","James","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
268,"Mcdonald","John","male","no",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
269,"Mcevoy","John","male","yes",NA,"Engineering","Crew","British","Refrigeration Greaser","","Jonesborough","","","Adult"
270,"Mcgeough","Michael","male","no",30,"Engineering","Crew","British","Fireman","","Dundalk","","","Adult"
271,"Mcginty","Thomas","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
272,"Mcgowan","Joseph","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
273,"Mcgugan","Donald","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
274,"Mcgugan","Walter","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
275,"Mcguiness","Bernard","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
276,"Mckenna","Bernard","male","no",29,"Engineering","Crew","British","Trimmer","","Castlebellingham","","","Adult"
277,"Mckenna","Frank","male","yes",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
278,"Mckenna","John","male","no",NA,"Engineering","Crew","British","Trimmer","","","","","Adult"
279,"Mckenna","Patrick","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
280,"Mckindrey","Andrew","male","yes",NA,"Engineering","Crew","British","Trimmer","","Newry","","","Adult"
281,"Mcloughlin","John","male","no",NA,"Engineering","Crew","British","Greaser","","","","","Adult"
282,"Mcmahon","Patrick","male","no",37,"Engineering","Crew","British","Fireman","","","","","Adult"
283,"Mcmahon","P.","male","yes",NA,"Engineering","Crew","British","Fireman","","","","","Adult"
284,"Mcnulty","Peter","male","no",30,"Engineering","Crew","British","Trimmer","","Liverpool","","","Adult"
